date,flight,gear,start,end,A,B,C,D1
6/29/2018,1,drift,12:30,14:00,74,59,144,40
6/29/2018,1,set,12:30,14:00,0,1,8,2
6/29/2018,2,drift,16:15,17:45,16,43,63,21
6/29/2018,2,set,16:15,17:45,0,1,3,4
