date,stratum,soak.hrs,gear,length,chinook,chum,sockeye,sheefish,whitefish
6/29/2018,B,1,drift,100,2,30,7,0,0
6/29/2018,B,2,drift,100,15,10,20,0,0
6/29/2018,B,1,drift,150,2,20,0,0,0
6/29/2018,B,2,drift,150,3,20,27,0,0
6/29/2018,B,2,drift,150,3,30,9,0,0
6/29/2018,B,2,drift,10,2,40,1,0,0
6/29/2018,B,1,drift,100,5,2,5,0,0
6/29/2018,B,3,drift,100,1,20,3,0,0
6/29/2018,C,3.5,drift,150,3,50,15,0,0
6/29/2018,C,0.5,drift,150,6,4,2,0,0
6/29/2018,C,1.5,drift,150,3,4,3,0,0
6/29/2018,C,2.5,drift,80,2,20,2,0,0
6/29/2018,C,4,drift,150,1,60,5,0,0
6/29/2018,C,4,drift,150,5,0,20,0,0
6/29/2018,C,3,drift,150,14,7,25,0,0
6/29/2018,A,1,drift,100,0,0,0,0,0
6/29/2018,A,0.25,drift,250,0,15,5,0,0
6/29/2018,B,0.166666667,drift,150,2,17,7,0,0
6/29/2018,B,2,drift,50,2,5,2,0,0
6/29/2018,B,1,drift,100,5,40,12,0,0
6/29/2018,B,0.2,drift,100,2,5,6,0,0
6/29/2018,B,2,drift,100,0,0,8,0,0
6/29/2018,B,2,drift,150,3,20,20,0,0
6/29/2018,B,2,drift,100,1,4,25,0,0
6/29/2018,B,2,drift,150,2,10,3,0,0
6/29/2018,B,2,drift,100,5,9,3,0,0
6/29/2018,B,2,drift,150,2,40,3,0,0
6/29/2018,B,1,drift,150,3,15,15,0,0
6/29/2018,B,1,drift,150,7,5,20,0,0
6/29/2018,B,1,drift,150,2,14,2,0,0
