date,flight,gear,start,end,A,B,C,D1
7/5/2018,1,drift,14:00,15:30,20,17,38,12
7/5/2018,1,set,14:00,15:30,0,1,3,3
7/5/2018,2,drift,18:40,20:00,12,22,47,9
7/5/2018,2,set,18:40,20:00,0,2,5,3
