date,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
6/6/2018,Set,B,4,30,12:00,23:00,660,1,0,0,0,2
6/6/2018,Set,C,4,30,19:00,21:30,150,0,0,0,0,1
6/6/2018,Set,C,4,50,16:30,18:30,120,0,0,0,0,0
6/6/2018,Set,B,4,30,12:00,23:00,660,1,0,0,0,2
6/6/2018,Set,C,4,30,19:00,21:30,150,0,0,0,0,1
6/6/2018,Set,C,4,60,11:00,18:00,420,0,0,0,0,0
6/6/2018,Set,C,4,60,16:30,22:30,360,1,0,0,0,0
6/6/2018,Set,C,4,60,11:00,18:00,420,0,0,0,0,0
6/6/2018,Set,B,4,25,15:00,22:30,450,0,0,0,0,0
6/6/2018,Set,C,4,30,12:00,23:00,660,1,0,0,2,0
