date,flight,gear,start,end,A,B,C,D1
6/16/2018,1,drift,12:30,14:00,93,55,148,23
6/16/2018,1,set,12:30,14:00,0,2,16,2
6/16/2018,2,drift,19:30,21:20,40,49,71,20
6/16/2018,2,set,19:30,21:20,0,1,5,0
