date,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
6/16/2018,Drift,C,5.125,150,16:00,19:00,180,6,3,1,0,0
6/16/2018,Drift,C,6,150,10:00,22:00,20,2,1,1,0,0
6/16/2018,Drift,C,5.75,150,11:30,22:00,420,18,6,1,0,0
6/16/2018,Drift,C,6,150,13:00,18:00,225,5,1,3,0,0
6/16/2018,Drift,C,6,150,18:00,21:30,85,13,0,2,0,0
6/16/2018,Drift,C,6,150,10:15,18:00,210,27,7,1,0,0
6/16/2018,Drift,A,6,300,9:30,19:30,123,17,14,0,0,0
6/16/2018,Drift,C,4.5,100,11:00,16:00,250,5,5,0,0,1
6/16/2018,Drift,C,6,150,10:00,13:00,175,23,0,5,0,2
6/16/2018,Set,C,5.5,25,10:00,22:00,720,0,0,1,0,0
6/16/2018,Set,C,5.875,150,10:00,22:00,720,5,0,0,0,1
6/16/2018,Drift,C,6,150,10:00,20:20,660,15,6,4,0,0
6/16/2018,Drift,C,6,120,11:30,15:15,120,15,6,1,0,2
6/16/2018,Drift,A,5.75,300,11:30,15:30,120,0,0,0,0,0
6/16/2018,Drift,C,5.75,150,10:00,11:00,30,0,1,0,0,0
6/16/2018,Drift,C,6,150,11:00,17:30,180,1,2,0,0,0
6/16/2018,Drift,C,6,150,10:00,20:30,315,3,6,0,0,0
6/16/2018,Set,C,6,100,11:00,19:20,540,3,0,0,0,0
6/16/2018,Drift,A,6,300,10:30,19:30,360,3,4,0,0,0
6/16/2018,Drift,C,6,150,10:00,14:00,240,3,10,1,0,0
6/16/2018,Drift,C,5.5,150,10:15,21:50,360,40,6,1,0,0
6/16/2018,Set,C,5,150,10:00,22:00,720,30,NA,NA,NA,NA
6/16/2018,Drift,B,5.875,150,10:15,22:30,240,32,6,1,0,0
6/16/2018,Drift,B,6,150,14:00,22:00,360,6,7,0,0,0
