date,stratum,trip.start,trip.end,soak.hrs,length,gear,mesh,chinook,chum,sockeye,sheefish,whitefish,chinook.goal,chum.goal,sockeye.goal,type,village
6/16/2018,A,10:30,23:30,10:00,300,Driftnet,5.50,11,8,0,0,0,2,2,1,Village,Kasigluk
6/16/2018,A,21:30,23:30,1:30,NA,Driftnet,5.50,11,10,0,1,0,1,1,1,Village,Atmautluak
6/16/2018,A,21:30,23:30,1:30,150,Driftnet,5.50,1,1,0,1,0,1,1,1,Village,Atmautluak
6/16/2018,A,10:00,23:30,9:30,300,Driftnet,5.88,5,2,0,0,0,1,1,1,Village,Atmautluak
6/16/2018,B,15:00,22:00,NA,NA,Driftnet,5.00,7,4,0,0,0,1,1,1,Village,Atmautluak
6/16/2018,A,14:00,22:00,2:00,300,Driftnet,5.00,0,1,0,0,0,1,1,1,Village,Atmautluak
6/16/2018,A,14:00,23:00,6:00,100,Driftnet,5.75,1,0,0,2,0,1,1,1,Village,Atmautluak
