date,stratum,trip.start,trip.end,soak.hrs,length,gear,mesh,chinook,chum,sockeye,sheefish,whitefish,chinook.goal,chum.goal,sockeye.goal,type,village
6/16/2018,D1,10:00,18:30,3:00,150,Driftnet,6,13,15,0,1,0,2,1,1,Fish camp,Akiak
6/16/2018,A,13:00,18:00,1:00,300,Driftnet,6,1,1,0,0,0,1,1,1,Village,Tuntutuliak
6/16/2018,A,10:00,18:30,0:30,300,Driftnet,5.5,0,0,0,0,0,1,1,1,Village,Tuntutuliak
6/16/2018,A,9:00,18:38,0:15,300,Driftnet,5.5,0,0,0,0,0,1,1,1,Village,Tuntutuliak
6/16/2018,A,16:00,18:00,1:45,300,Driftnet,5.5,1,1,0,0,0,1,1,1,Village,Tuntutuliak
6/16/2018,A,14:30,19:00,4:30,210,Driftnet,6,23,4,2,0,0,1,1,1,Village,Tuntutuliak
6/16/2018,A,10:00,18:00,7:00,120,Driftnet,5.25,1,2,1,13,9,1,1,1,Village,Tuntutuliak
6/16/2018,C,10:30,14:00,3:00,150,Driftnet,5.75,18,16,0,0,1,2,2,1,Fish camp,Akiachak
6/16/2018,C,10:00,17:00,6:00,150,Driftnet,5.5,14,7,6,0,0,1,1,1,Village,Akiachak
6/16/2018,C,10:00,18:00,6:00,150,Driftnet,6,18,12,0,0,0,2,2,1,Fish camp,Akiachak
6/16/2018,C,19:00,21:30,1:30,150,Driftnet,6,0,1,0,3,0,1,1,1,Fish camp,Akiachak
6/16/2018,A,13:00,19:00,2:00,300,Driftnet,7.5,7,2,0,1,0,1,1,1,Village,Tuntutuliak
6/16/2018,C,15:00,19:00,3:00,150,Driftnet,6,12,8,0,0,0,2,1,1,Fish camp,Akiachak
6/16/2018,C,11:30,20:30,7:00,150,Driftnet,6,25,20,2,0,0,2,2,1,Fish camp,Akiachak
6/16/2018,C,11:15,17:30,5:00,150,Driftnet,5.5,5,5,3,0,1,1,1,1,Fish camp,Akiachak
6/16/2018,A,18:00,20:00,0:30,300,Driftnet,5.5,0,0,0,0,0,1,1,1,Village,Tuntutuliak
6/16/2018,C,10:00,12:00,1:30,150,Driftnet,6,4,6,0,1,0,1,1,1,Fish camp,Akiachak
6/16/2018,C,15:00,21:30,4:00,150,Driftnet,6,14,0,1,0,0,2,1,1,Fish camp,Akiachak
6/16/2018,A,10:00,15:00,1:00,300,Driftnet,6,11,0,0,0,0,1,1,1,Village,Tuntutuliak
6/16/2018,C,10:30,21:00,7:00,150,Driftnet,6,12,8,1,0,0,2,1,1,Fish camp,Akiachak
6/16/2018,A,10:00,19:00,8:00,210,Driftnet,6,24,0,0,0,0,1,1,1,Village,Tuntutuliak
6/16/2018,C,10:30,14:30,3:15,150,Driftnet,6,20,6,0,3,0,2,2,3,Village,Kwethluk
6/16/2018,C,11:00,14:30,2:30,150,Driftnet,5.5,2,2,1,2,1,2,1,1,Village,Kwethluk
6/16/2018,C,10:15,15:00,4:30,150,Driftnet,6,8,2,0,1,1,1,1,1,Village,Kwethluk
6/16/2018,C,11:00,16:00,4:00,150,Driftnet,5.63,23,20,0,1,0,2,1,1,Village,Kwethluk
6/16/2018,C,15:15,19:30,3:00,150,Driftnet,6,3,1,0,1,0,1,1,1,Village,Kwethluk
6/16/2018,C,9:30,12:00,2:00,72,Setnet,5.63,2,1,0,1,1,3,1,1,Village,Kwethluk
6/16/2018,C,18:00,22:00,3:30,150,Driftnet,6,2,5,1,0,0,1,1,1,Village,Kwethluk
6/16/2018,C,18:00,20:00,2:00,150,Driftnet,5.5,4,1,0,0,0,1,1,1,Village,Kwethluk
6/16/2018,C,10:30,13:30,3:00,100,Driftnet,5.88,1,8,0,0,0,1,1,1,Village,Kwethluk
6/16/2018,C,15:00,20:15,5:15,150,Driftnet,5.5,12,6,1,2,2,1,1,1,Village,Kwethluk
6/16/2018,C,15:00,18:00,3:00,150,Driftnet,6,3,1,0,1,0,1,1,1,Village,Kwethluk
6/16/2018,C,10:30,15:00,4:30,150,Driftnet,6,2,25,1,0,1,1,1,1,Village,Kwethluk
6/16/2018,C,10:00,17:00,7:00,300,Driftnet,6,20,3,1,3,0,1,1,1,Village,Kwethluk
6/16/2018,C,11:30,14:30,3:00,150,Driftnet,6,7,3,0,0,0,1,1,1,Village,Kwethluk
6/16/2018,A,9:45,17:15,7:00,300,Driftnet,6,17,5,3,2,0,1,1,1,Village,Tuntutuliak
6/16/2018,C,10:30,15:30,3:30,150,Driftnet,5.88,13,0,0,7,1,1,1,1,Village,Kwethluk
6/16/2018,C,9:15,22:00,12:00,150,Driftnet,6,37,25,0,0,0,1,1,1,Village,Kwethluk
6/16/2018,C,20:00,22:00,2:00,150,Driftnet,6,1,0,0,0,0,1,1,1,Village,Kwethluk
6/16/2018,C,11:00,17:00,6:00,50,Driftnet,5.5,9,3,1,1,0,1,1,1,Village,Kwethluk
6/16/2018,C,10:00,17:00,7:00,150,Driftnet,6,20,10,0,0,1,1,1,1,Fish camp,Kwethluk
6/16/2018,C,16:00,22:00,5:30,150,Driftnet,5.75,3,0,0,0,0,1,1,1,Village,Kwethluk
6/16/2018,C,10:00,17:30,7:30,150,Driftnet,6,19,8,0,4,0,1,1,1,Village,Kwethluk
6/16/2018,C,13:00,18:00,5:00,150,Driftnet,5.88,13,0,0,0,0,1,1,1,Village,Kwethluk
6/16/2018,C,10:30,21:30,11:00,150,Driftnet,6,42,18,0,0,0,1,1,1,Village,Kwethluk
6/16/2018,C,10:30,15:00,4:30,150,Driftnet,5.75,6,8,0,1,0,1,1,1,Village,Kwethluk
6/16/2018,C,11:30,20:00,8:00,150,Setnet,6,3,0,1,0,2,1,1,1,Village,Kwethluk
6/16/2018,C,12:00,20:30,8:00,150,Driftnet,5.5,3,0,1,0,2,1,1,1,Village,Kwethluk
6/16/2018,C,12:30,16:30,4:00,150,Driftnet,5.63,10,7,0,0,0,1,1,1,Village,Kwethluk
6/16/2018,C,11:30,17:00,5:00,150,Driftnet,6,8,5,1,0,0,1,1,1,Village,Kwethluk
6/16/2018,C,13:00,18:30,5:00,150,Driftnet,5.88,11,6,0,0,1,1,1,1,Village,Kwethluk
6/16/2018,D1,13:30,22:00,8:00,120,Setnet,5,3,0,1,0,3,4,2,1,Village,Akiak
6/16/2018,D1,13:30,15:00,0:45,150,Driftnet,6,7,6,0,0,0,4,2,1,Village,Akiak
6/16/2018,D1,11:00,16:00,2:30,150,Driftnet,6,14,2,0,0,0,4,2,1,Village,Akiak
6/16/2018,D1,13:00,18:00,2:45,150,Driftnet,6,10,3,0,1,0,4,4,1,Village,Akiak
6/16/2018,D1,12:00,22:00,3:30,54,Driftnet,5.88,14,2,2,1,0,2,1,1,Village,Akiak
6/16/2018,D1,18:45,22:00,2:30,150,Driftnet,6,14,11,0,0,0,4,3,1,Village,Akiak
6/16/2018,D1,12:00,16:00,3:30,300,Driftnet,5.5,2,4,0,1,0,1,1,1,Village,Akiak
6/16/2018,D1,14:00,17:00,2:00,150,Driftnet,6,9,13,0,2,0,3,3,1,Village,Akiak
6/16/2018,D1,14:00,17:30,2:00,270,Driftnet,5.88,2,10,0,1,0,1,1,1,Village,Akiak
6/16/2018,D1,14:15,14:30,0:15,15,Driftnet,3,1,0,0,0,0,1,1,1,Village,Akiak
6/16/2018,C,10:00,17:30,3:45,210,Driftnet,6,20,16,0,0,0,4,2,1,Village,Akiak
6/16/2018,A,13:00,18:00,4:30,300,Driftnet,6,16,6,2,0,0,1,2,1,Village,Tuntutuliak
6/16/2018,D1,14:00,18:00,3:30,50,Driftnet,6,0,3,0,0,0,1,1,1,Village,Akiak
6/16/2018,C,13:15,22:30,4:30,270,Driftnet,6,17,21,0,2,0,2,2,1,Village,Akiak
6/16/2018,A,12:00,18:45,6:30,300,Driftnet,5.75,15,5,3,2,1,1,2,1,Village,Tuntutuliak
6/16/2018,C,11:00,18:00,5:00,120,Driftnet,5.5,0,0,0,1,0,1,1,1,Village,Kwethluk
6/16/2018,C,10:15,15:00,4:15,150,Driftnet,5.75,31,12,1,2,0,3,3,2,Village,Kwethluk
6/16/2018,B,11:00,17:30,6:15,150,Driftnet,5.5,11,2,1,2,0,1,1,1,Fish camp,Napaskiak
6/16/2018,B,11:00,16:15,5:00,150,Driftnet,5.88,7,3,0,0,0,1,1,1,Fish camp,Napaskiak
6/16/2018,B,10:00,15:30,3:15,150,Driftnet,5.88,6,4,2,0,0,1,1,1,Fish camp,Napaskiak
6/16/2018,B,12:00,16:00,3:45,150,Driftnet,6,17,5,1,1,0,1,1,1,Fish camp,Napaskiak
6/16/2018,B,10:30,17:00,6:30,150,Driftnet,6,20,3,0,2,0,1,1,1,Fish camp,Napaskiak
6/16/2018,B,11:30,16:45,4:30,150,Driftnet,5.88,12,5,3,0,0,1,1,1,Fish camp,Napaskiak
6/16/2018,B,10:00,16:00,5:45,150,Driftnet,6,17,9,1,0,0,1,1,1,Fish camp,Napaskiak
6/16/2018,B,13:00,17:00,4:00,150,Driftnet,5.63,13,14,0,0,0,1,1,1,Fish camp,Napaskiak
6/16/2018,B,14:00,19:00,4:45,75,Driftnet,6,14,2,2,0,0,1,1,1,Fish camp,Napaskiak
6/16/2018,B,11:30,17:45,5:00,150,Driftnet,5.5,13,4,1,4,0,1,1,1,Fish camp,Napaskiak
6/16/2018,B,10:00,19:30,9:15,150,Driftnet,6,11,5,5,0,0,1,1,1,Fish camp,Napaskiak
