date,stratum,trip.start,trip.end,soak.hrs,length,gear,mesh,chinook,chum,sockeye,sheefish,whitefish,chinook.goal,chum.goal,sockeye.goal,type,village
6/12/2020,C,6:00,13:30,6:00,150,Driftnet,6,3,0,0,3,0,1,1,1,Phone,Kwethluk
6/12/2020,C,6:00,17:30,10:30,150,Driftnet,5.875,5,0,0,3,0,1,1,1,Phone,Kwethluk
6/12/2020,C,7:30,15:30,6:30,150,Driftnet,5.5,3,0,0,1,0,1,1,1,Phone,Kwethluk
6/12/2020,C,8:00,18:00,9:00,150,Driftnet,6,5,1,0,0,0,1,1,1,Phone,Kwethluk
6/12/2020,B,7:30,13:00,5:15,150,Driftnet,5.375,7,3,0,0,2,1,1,1,Village,Napaskiak
6/12/2020,B,8:30,14:00,5:30,150,Driftnet,5.625,6,1,0,0,0,1,1,1,Village,Napaskiak
6/12/2020,B,9:30,14:30,4:00,150,Driftnet,5.375,4,2,0,0,0,1,1,1,Village,Napaskiak
6/12/2020,B,6:00,14:00,7:45,150,Driftnet,5.5,26,2,1,0,0,1,1,1,Village,Napaskiak
6/12/2020,D1,11:00,18:00,7:00,150,Driftnet,6,7,2,0,2,0,3,2,2,Village,Akiak
6/12/2020,D1,12:00,18:00,6:00,150,Driftnet,6,5,1,0,1,0,3,2,2,Village,Akiak
6/12/2020,D1,8:00,11:00,2:45,150,Driftnet,6,1,0,0,1,0,2,2,2,Village,Akiak
6/12/2020,D1,11:30,16:45,5:15,150,Driftnet,6,5,1,0,2,1,2,2,2,Village,Akiak
6/12/2020,D1,12:00,16:45,4:45,150,Driftnet,6,3,1,0,2,0,2,2,2,Village,Akiak
