"chinook","chum","sockeye"
5379.4039044241,1991.90795051818,162.265600825824
5614.04780587904,2009.5425937553,181.480814546588
4870.3256269476,1329.17097009745,226.032488039898
5396.92267173332,1967.07924162336,241.614991306439
4754.67086522965,1363.18911315459,223.669498693008
5399.51604092009,2201.29110702613,279.016436462853
4822.38606801997,1957.64761297447,247.904839670499
5595.93441810957,1651.24370559268,290.195058303439
4610.50570711748,1276.82246541565,220.738241414946
5252.87588789876,1587.70493279314,290.070456317783
5443.51425767029,1964.58326430234,325.753263818384
5239.6300958768,1260.14594132581,262.599020192013
5422.71670699796,1670.90173307142,276.629830733601
4865.38681793688,2029.04668045846,295.175147672299
5659.26401173814,2453.73127480364,172.662877673585
4710.31287443059,1331.87152680811,230.248729123626
6194.38861000977,1973.99872548027,330.882693148797
5411.30234869546,2320.68586796219,350.242498051347
5428.86028483553,1932.44140000802,190.044901303558
4658.02887354306,1608.42604354253,293.06528634134
5739.75020025003,1810.50326986025,333.845486063655
4404.5128127967,1544.25578879952,292.143559513393
5228.43691060348,1766.736135654,240.487552917899
5469.48189452613,2509.5529992278,108.977131294233
4768.31551715469,1454.57517594007,263.848496129478
5678.10067242028,2222.27557859049,244.177026408127
4662.15848606933,1289.46377922754,245.801728800176
5227.7220453191,1803.30184845172,229.496965506384
5232.06293722861,2243.0504284854,263.816999298647
5313.92971221378,1988.29626459606,139.577568950909
4776.14224059666,1147.46233531845,291.38491904235
5435.67785908254,1222.05864813763,220.706176014597
5025.94428068835,1708.29196686709,314.942104931421
5624.6412740809,1705.71371060023,203.060317170016
5433.84761773103,1933.96089387905,218.511305356473
6127.72672806249,1756.1073216954,266.745637956964
4763.88652427782,1156.59148335187,227.395099214411
5083.85754550384,1639.92181257668,324.958797538213
4633.35444226277,1686.24952420136,305.455697972247
5019.24987445126,1466.08250897676,271.334620995004
4774.66327001197,1633.11367175742,222.475131385822
5324.05185692766,1591.73434314899,264.239486027569
5198.55402623278,1685.75066061523,181.655144709749
4917.72374907282,1777.34717047883,275.487688678757
6083.36213483895,1881.54696539403,370.017998554828
4826.54605823055,1329.24603892768,278.776400994794
5948.40157403546,1655.68355655286,302.699104266291
5732.31256479615,1832.07826889755,246.282275652843
4446.81229802656,1589.97994641224,348.322944403387
5869.37881789962,2077.751134039,215.250221561005
4192.01799122334,1326.29252207536,232.513059641053
5343.83472567974,1922.00852982449,269.785973398669
5234.17605631025,1594.64921273756,286.141364821464
5902.79936098833,2459.20410170789,299.091519255271
5817.89656272807,1705.65409726894,329.354314194705
5075.15438160226,1334.05388756193,309.296181425504
5024.85278394954,2056.73949150354,306.157006641063
6033.7066775773,2236.80970799728,230.629845563566
5579.29600796605,2060.55415224917,283.415344350164
4431.04418780936,1606.61846730183,268.040404844325
5637.58222649393,2043.79715027599,220.946380711096
4971.27647943431,1357.29226942027,290.2188819604
5159.90638443263,1639.73693708565,262.026646775584
5189.09602522651,2055.3733988244,237.856206586121
4927.63586879625,1722.28830058587,285.617538373399
5412.04119039651,1857.96336324985,219.067070128703
5945.27725134699,2355.66571955539,274.587964619122
4885.26734861781,1819.30985475276,189.53645268548
5643.44200630116,2004.08343681177,263.993867764843
5975.0530107075,1554.25682349298,262.429783693596
5230.76354925666,1774.72136326934,176.319053901536
4731.0736027469,1629.46758462514,288.101827034616
5055.82000694335,1549.12026632104,308.472917329571
4751.09902824363,1562.97276940946,268.633952877022
4562.44116524897,1632.42577647201,223.662087643298
4979.95709098679,1339.118474136,204.974446874178
4874.08571278283,1739.27143180823,197.103750564859
5382.92674132886,1784.92923248419,197.647472586988
5038.17926653489,1789.5626118171,312.828986092916
5833.8012987582,1962.43194395159,376.554632631378
5451.19084325903,1718.16832136286,202.467836886719
