date,stratum,soak.hrs,gear,length,chinook,chum,sockeye,sheefish,whitefish
6/12/2018,C,0.5,drift,150,3,0,0,0,0
6/12/2018,C,0.333333333,drift,150,3,0,1,0,0
6/12/2018,C,1,drift,150,3,0,0,0,0
6/12/2018,C,0.5,drift,150,1,0,0,0,0
6/12/2018,C,0.333333333,drift,150,1,0,0,0,0
6/12/2018,C,0.333333333,drift,150,1,0,0,0,0
6/12/2018,C,0.5,drift,150,0,0,0,0,0
6/12/2018,C,2,drift,150,2,0,0,0,0
6/12/2018,C,1,drift,150,6,1,0,0,0
6/12/2018,C,2,drift,150,0,0,0,0,0
6/12/2018,C,0.5,drift,150,1,0,1,0,0
6/12/2018,C,1,drift,150,1,0,0,0,0
6/12/2018,C,0.166666667,drift,150,0,0,0,0,0
6/12/2018,C,2,drift,150,3,1,0,0,0
6/12/2018,C,2,drift,150,5,0,0,0,0
6/12/2018,C,0.333333333,drift,150,3,0,0,0,0
6/12/2018,C,1,drift,150,1,0,1,0,0
6/12/2018,C,0.5,drift,150,5,1,0,0,0
6/12/2018,C,2.5,drift,150,4,1,0,0,0
6/12/2018,C,,drift,150,3,2,0,0,0
6/12/2018,C,1,drift,150,8,0,0,0,0
6/12/2018,C,0.166666667,drift,150,0,0,0,0,0
6/12/2018,C,1.5,drift,150,0,1,0,0,0
6/12/2018,C,,drift,270,0,1,0,0,0
6/12/2018,C,1,drift,150,0,0,0,0,0
6/12/2018,C,3,drift,150,3,0,0,0,0
6/12/2018,C,0.583333333,drift,150,7,2,0,0,0
6/12/2018,C,1,drift,150,0,0,0,0,0
6/12/2018,C,0.25,drift,150,0,0,0,0,0
6/12/2018,C,0.333333333,drift,240,0,1,0,0,0
6/12/2018,C,0.333333333,drift,150,0,0,0,0,0
6/12/2018,C,0.75,drift,100,2,0,0,0,0
6/12/2018,C,2.083333333,drift,150,1,0,0,0,0
6/12/2018,C,6.5,set,40,15,0,0,0,0
6/12/2018,C,2.5,drift,150,5,0,0,0,0
6/12/2018,D1,0.25,drift,150,0,0,0,0,0
6/12/2018,D1,3.666666667,drift,170,7,1,0,0,0
6/12/2018,D1,3,drift,75,3,0,0,0,0
6/12/2018,D1,0.166666667,drift,150,0,0,0,0,0
6/12/2018,D1,6,drift,150,15,0,0,0,0
6/12/2018,D1,3,drift,170,1,0,0,0,0
6/12/2018,D1,0.5,drift,160,0,0,0,0,0
6/12/2018,D1,4,drift,150,7,3,0,0,0
6/12/2018,D1,5,drift,300,6,0,0,0,0
6/12/2018,D1,1.5,drift,300,14,3,0,0,0
6/12/2018,D1,6,drift,300,2,0,0,0,0
6/12/2018,D1,1,drift,190,9,2,0,0,0
6/12/2018,C,0.416666667,drift,190,0,0,0,0,0
6/12/2018,A,0.5,drift,300,10,6,0,0,0
6/12/2018,A,0.5,drift,300,5,3,0,0,0
6/12/2018,A,0.5,drift,300,4,0,0,0,0
6/12/2018,A,0.333333333,drift,300,2,1,0,0,0
6/12/2018,A,2,drift,105,15,4,0,0,0
6/12/2018,A,1,drift,300,7,5,0,0,0
6/12/2018,A,0.25,drift,300,2,3,0,0,0
6/12/2018,A,0.5,drift,300,4,11,0,0,0
6/12/2018,A,2,drift,300,15,0,0,0,0
6/12/2018,A,1,drift,300,1,2,0,0,0
6/12/2018,A,0.75,drift,300,1,0,0,0,0
6/12/2018,A,0.5,set,300,9,2,0,0,0
6/12/2018,A,0.5,set,300,1,1,0,0,0
6/12/2018,A,2.25,set,300,12,3,0,0,0
6/12/2018,A,0.25,drift,300,3,1,0,0,0
6/12/2018,A,0.5,drift,300,2,5,0,0,0
6/12/2018,A,1,drift,300,1,0,0,0,0
6/12/2018,A,0.25,drift,300,2,0,0,0,0
6/12/2018,A,0.333333333,drift,240,1,2,1,0,0
6/12/2018,A,0.5,drift,300,12,27,0,0,0
6/12/2018,A,0.5,drift,300,3,0,0,0,0
6/12/2018,A,0.75,drift,300,12,6,0,0,0
6/12/2018,A,0.5,drift,300,15,0,0,0,0
6/12/2018,A,0.75,drift,300,7,9,0,0,0
6/12/2018,A,5,drift,300,11,4,0,0,0
6/12/2018,A,5,drift,300,4,4,1,0,0
6/12/2018,A,0.75,drift,300,1,0,0,0,0
6/12/2018,A,4.5,drift,300,10,1,0,0,0
6/12/2018,A,1,drift,300,4,1,0,0,0
6/12/2018,A,0.75,drift,300,6,1,1,0,0
