date,flight,gear,start,end,A,B,C,D1
6/12/2018,1,drift,11:00,12:40,80,64,125,36
6/12/2018,1,set,11:00,12:40,0,1,10,5
6/12/2018,2,drift,15:00,17:00,93,82,109,31
6/12/2018,2,set,15:00,17:00,0,3,18,8
6/12/2018,3,drift,19:00,20:30,31,29,111,31
6/12/2018,3,set,19:00,20:30,0,0,20,6
