date,stratum,soak.hrs,gear,length,chinook,chum,sockeye,sheefish,whitefish
6/24/2018,A,1,drift,150,3,12,0,0,0
6/24/2018,A,1,drift,150,0,1,1,0,0
6/24/2018,A,1,drift,300,1,2,2,0,0
6/24/2018,B,1,drift,150,1,4,2,0,0
6/24/2018,B,1.5,drift,180,0,6,0,0,0
6/24/2018,B,2,drift,150,2,8,3,0,0
6/24/2018,B,2,drift,80,6,4,1,0,0
6/24/2018,B,1,drift,100,1,1,3,0,0
6/24/2018,B,2,drift,150,4,6,2,0,0
6/24/2018,B,1,drift,100,6,1,0,0,0
6/24/2018,B,3,drift,80,3,3,2,0,0
6/24/2018,B,1,drift,60,1,3,0,0,0
6/24/2018,B,3,drift,150,4,12,1,0,0
6/24/2018,B,1,drift,150,2,3,4,0,0
6/24/2018,C,1,drift,150,10,8,2,0,0
6/24/2018,C,2,drift,150,1,10,1,0,0
6/24/2018,C,3,drift,150,10,10,8,0,0
6/24/2018,C,3,drift,150,1,6,0,0,0
6/24/2018,C,1.5,drift,100,3,3,0,0,0
6/24/2018,C,4,drift,150,19,15,0,0,0
6/24/2018,C,2,drift,75,10,15,8,0,0
6/24/2018,C,3,drift,150,10,5,15,0,0
6/24/2018,C,3,drift,150,14,10,5,0,0
