date,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
6/24/2018,Drift,C,5.75,150,12:00,18:30,240,8,6,4,0,1
6/24/2018,Drift,D1,5.5,150,11:30,15:30,150,9,6,8,1,0
6/24/2018,Drift,A,6,300,14:00,19:00,80,20,30,8,0,0
6/24/2018,Drift,C,6,150,11:00,14:00,48,15,3,2,0,0
6/24/2018,Drift,C,6,150,10:30,13:30,120,5,19,1,0,0
6/24/2018,Drift,C,6,150,10:15,15:00,175,20,15,2,0,0
6/24/2018,Drift,C,6,150,10:00,16:00,240,42,17,7,0,0
6/24/2018,Drift,C,6,150,10:00,17:30,200,39,4,4,0,0
6/24/2018,Drift,C,6,150,16:00,18:00,30,12,7,4,0,0
6/24/2018,Drift,C,6,150,10:45,17:00,80,7,15,5,0,0
6/24/2018,Drift,C,6,150,14:30,16:30,90,4,4,1,0,0
6/24/2018,Set,C,6,150,14:00,20:00,360,8,0,1,0,1
6/24/2018,Drift,C,5.75,150,12:00,21:30,270,23,17,7,0,0
6/24/2018,Drift,C,6,150,13:00,23:00,120,5,37,10,0,0
6/24/2018,Drift,C,6,125,11:30,12:00,30,1,9,1,0,0
6/24/2018,Drift,C,5.5,100,13:30,18:30,90,1,0,0,0,0
6/24/2018,Drift,C,5.5,150,15:00,16:30,60,4,3,7,1,0
6/24/2018,Drift,C,5.5,150,18:00,20:00,30,6,7,3,0,0
6/24/2018,Set,C,5.5,130,18:00,20:00,120,1,2,1,0,0
6/24/2018,Set,B,5.5,45,11:30,15:00,210,10,4,7,0,0
6/24/2018,Drift,C,6,150,11:30,17:00,120,9,6,4,0,0
6/24/2018,Drift,C,6,150,14:30,15:00,30,5,0,0,0,0
6/24/2018,Drift,C,6,150,10:30,13:00,90,2,12,3,0,0
6/24/2018,Drift,C,6,150,16:00,20:30,100,6,14,2,0,0
6/24/2018,Drift,C,6,150,11:00,15:00,100,6,25,0,0,0
6/24/2018,Drift,C,6,150,10:00,15:00,210,21,16,7,0,0
6/24/2018,Drift,C,6,300,10:00,22:00,240,14,10,1,0,1
6/24/2018,Drift,C,6,150,11:00,17:40,220,33,40,4,0,0
