date,stratum,trip.start,trip.end,soak.hrs,length,gear,mesh,chinook,chum,sockeye,sheefish,whitefish,chinook.goal,chum.goal,sockeye.goal,type,village
6/24/2018,A,8:30,15:00,1:30,35,Driftnet,6,27,24,20,0,0,4,3,2,Fish camp,Kasigluk
6/24/2018,A,8:30,14:00,3:00,292,Driftnet,5.88,15,50,10,0,0,2,5,3,Fish camp,Kasigluk
6/24/2018,A,8:45,13:00,1:00,300,Driftnet,5.5,17,30,18,0,0,4,5,3,Fish camp,Kasigluk
6/24/2018,A,8:30,15:30,4:00,300,Driftnet,6,6,16,10,0,0,1,2,2,Village,Kasigluk
6/24/2018,A,8:00,17:00,5:00,300,Driftnet,5.63,30,40,30,0,0,2,5,5,Village,Kasigluk
6/24/2018,A,5:00,17:00,6:00,300,Driftnet,5.5,20,100,35,0,0,4,5,5,Village,Kasigluk
6/24/2018,A,8:45,13:45,3:30,300,Driftnet,6,24,15,10,0,0,3,3,3,Village,Kasigluk
6/24/2018,A,9:00,16:30,5:30,300,Driftnet,6,10,50,7,2,0,2,3,2,Village,Kasigluk
6/24/2018,A,9:00,18:30,5:30,300,Driftnet,5.5,20,50,30,0,0,4,4,4,Village,Kasigluk
6/24/2018,A,8:30,16:00,5:00,300,Driftnet,5.88,34,20,50,0,0,3,5,5,Village,Kasigluk
6/24/2018,A,9:30,19:30,6:00,300,Driftnet,5.5,17,30,30,0,1,2,4,4,Community boat launch,Kasigluk
6/24/2018,A,10:00,20:30,4:00,300,Driftnet,6,12,21,15,0,0,2,3,2,Village,Kasigluk
6/24/2018,A,10:00,16:30,4:00,150,Driftnet,5,2,30,20,0,0,2,4,2,Village,Kasigluk
6/24/2018,A,9:30,16:00,3:30,300,Driftnet,5.5,23,68,17,0,0,2,3,2,Village,Kasigluk
6/24/2018,A,9:00,18:00,6:00,300,Driftnet,5.88,25,112,42,0,0,2,5,4,Fish camp,Kasigluk
6/24/2018,A,12:00,19:30,1:00,300,Driftnet,6,10,30,10,0,0,2,5,2,Village,Atmautluak
6/24/2018,B,10:30,17:30,2:30,300,Driftnet,5.5,10,19,7,1,0,1,5,3,Village,Atmautluak
